corpus,sample_id,AWC,CTC,CVC,cds.min,ID.h,ID.N,aclew_id,Row,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob,mat_ed_num,mat_ed_num3,n_sibs,agem.c,age.bin,age.qrt,cds.minph,cds.minph.lg,ads.minph,ads.min,prp.cds
Bergelson,B-38,15196,532,1987,2.3761666666666668,0.18683333333333332,20,7072,71,38,female,yes,12,AD,1,32,5,3,1,1.163934426229508,1,3,12.718108831400537,2.6187167725199663,2.2908117752007136,0.428,0.8473699851411589
Bergelson,B-39,19926,378,1408,1.9895,0.20833333333333334,20,1849,73,39,female,no,10,SC,2,28,3,1,2,-0.8360655737704921,0,2,9.5496,2.3560879445113523,3.9272,0.8181666666666667,0.7085955122877834
Bergelson,B-40,15221,549,2097,3.8025,0.36083333333333334,20,0677,75,40,male,yes,7,AD,2,34,5,3,2,-3.836065573770492,0,2,10.53810623556582,2.4456551432429783,11.135473441108545,4.01805,0.4862189999424593
Bergelson,B-41,15597,377,1334,2.41025,0.14516666666666667,19,0625,77,41,male,yes,9,AD,1,40,5,3,1,-1.836065573770492,0,2,16.60332950631458,2.868088060647636,5.189437428243398,0.7533333333333333,0.7618734030503386
Bergelson,B-42,18483,677,2087,1.5876666666666666,0.16183333333333333,20,2489,79,42,female,yes,17,AD,1,41,5,3,1,6.163934426229508,1,3,9.810504634397528,2.380518312744473,2.383110195674562,0.38566666666666666,0.8045608108108108
Bergelson,B-43,18725,458,1314,0.987,0.15316666666666667,20,4051,81,43,female,no,11,HS,0,23,2,1,0,0.16393442622950793,0,2,6.443960826985854,2.007403076405311,11.633297062023939,1.7818333333333334,0.35646782640101127
Bergelson,B-44,3633,154,1526,1.251,0.18316666666666667,20,2200,83,44,female,no,12,SC,3,37,3,1,2,1.163934426229508,1,3,6.829845313921746,2.0579427542420183,0,0,1
Bergelson,B-45,4221,133,774,1.2201666666666666,0.11,20,4604,85,45,male,yes,9,BA,1,27,4,2,1,-1.836065573770492,0,2,11.092424242424242,2.4925791608555374,5.495454545454546,0.6045,0.6687066130800147
Bergelson,B-46,29032,600,1875,1.2676666666666667,0.19783333333333333,20,1427,87,46,male,yes,9,BA,0,31,4,2,0,-1.836065573770492,0,2,6.407750631844988,2.002526834769334,13.354675652906487,2.642,0.3242390655639867
Warlaumont,W-204,21911,301,630,3.3658333333333332,0.29533333333333334,19,7928,107,204,male,yes,3,SC,0,24,3,1,0,-7.836065573770492,0,1,11.396726862302483,2.5174324750491595,18.247178329571106,5.389,0.3844543014334939
Warlaumont,W-274,7733,226,769,3.3781666666666665,0.3245,18,8684,109,274,female,yes,3,BA,3,31,4,2,2,-7.836065573770492,0,1,10.410374935798664,2.4345230236144357,6.477657935285054,2.102,0.6164350232657158
Warlaumont,W-340,7203,148,575,2.1253333333333333,0.274,20,9755,111,340,female,yes,3,BA,1,33,4,2,1,-7.836065573770492,0,1,7.756690997566909,2.169818093582796,14.267639902676398,3.9093333333333335,0.3521873619089704
Warlaumont,W-747,35174,634,1507,6.4125,0.3305,20,2535,113,747,male,yes,3,AD,0,32,5,3,0,-7.836065573770492,0,1,19.402420574886534,3.015653549442841,9.53555219364599,3.1515,0.670483061480552
Warlaumont,W-848,16635,488,2125,3.7403333333333335,0.38266666666666665,19,5481,115,848,male,yes,3,AD,1,35,5,3,1,-7.836065573770492,0,1,9.77439024390244,2.3771720444954982,11.197735191637632,4.285,0.46606579165974416
Warlaumont,W-955,14071,270,1807,2.1616666666666666,0.2965,15,5835,116,955,male,yes,3,BA,4,36,4,2,2,-7.836065573770492,0,1,7.290612703766161,2.1151238751936674,12.069702079820125,3.578666666666667,0.3765751117821265
Warlaumont,W-973,25499,484,1288,2.0648333333333335,0.25666666666666665,20,4552,117,973,male,yes,3,BA,0,31,4,2,0,-7.836065573770492,0,1,8.044805194805196,2.2021905812803566,26.45064935064935,6.789,0.23321348568416692
VanDam,V-S1MA,12562,707,2427,2.8721666666666668,0.22333333333333333,20,NA,102,S1MA,male,yes,17,AD,0,20,5,3,0,6.163934426229508,1,3,12.860447761194031,2.6290392992423848,2.824626865671642,0.6308333333333334,0.8199162622514036
VanDam,V-S1RJ,5389,236,1436,1.9173333333333333,0.14083333333333334,20,NA,103,S1RJ,female,yes,19,AD,1,30,5,3,1,8.163934426229508,1,4,13.614201183431952,2.6819937397606486,2.646153846153846,0.37266666666666665,0.8372634643377002
VanDam,V-S1VL,5955,88,736,2.5596666666666668,0.18416666666666667,20,NA,105,S1VL,male,yes,5,BA,0,20,4,2,0,-5.836065573770492,0,1,13.898642533936652,2.7012701036961686,12.662443438914027,2.332,0.5232708688245316
McDivitt,M-101,1065,69,2133,1.139,0.1385,20,9733,89,101,male,no,12,PH,0,21,1,1,0,1.163934426229508,1,3,8.223826714801444,2.2217899964504664,3.4271961492178096,0.4746666666666667,0.7058458996075191
McDivitt,M-102,21181,578,1862,1.5736666666666668,0.14516666666666667,20,1902,91,102,female,no,8,PH,0,18,1,1,0,-2.836065573770492,0,2,10.84041331802526,2.471518537463566,8.461538461538462,1.2283333333333333,0.5616226504877468
McDivitt,M-103,5064,172,1235,2.6538333333333335,0.142,20,3263,94,103,male,no,20,PH,0,17,1,1,0,9.163934426229508,1,4,18.688967136150236,2.9800584350105668,0.12206572769953052,0.017333333333333333,0.993510950271417
McDivitt,M-104,9537,427,2117,2.284,0.1535,20,5134,95,104,female,no,19,PH,0,21,1,1,0,8.163934426229508,1,4,14.879478827361563,2.7650276358447505,3.8545059717698154,0.5916666666666667,0.7942506085545381
McDivitt,M-105,5507,76,258,0.5791666666666666,0.146,20,8013,96,105,female,no,8,PH,0,17,1,1,0,-2.836065573770492,0,2,3.9668949771689497,1.6027948917842887,12.804794520547945,1.8695,0.2365232779744078
McDivitt,M-106,6208,63,285,0.521,0.18983333333333333,20,4081,98,106,female,no,5,PH,0,18,1,1,0,-5.836065573770492,0,1,2.7445127304653205,1.3202914964785974,4.315188762071993,0.8191666666666666,0.38875761721178964
McDivitt,M-107,7177,150,617,1.6395,0.1325,20,8496,100,107,female,no,10,PH,0,19,1,1,0,-0.8360655737704921,0,2,12.373584905660376,2.5932814857387494,8.80251572327044,1.1663333333333334,0.5843183843183842
